context_id,pair_id,verb,s1,s2,list_id
37,1189,hurt,A: The broadcaster explained which judge the contestant had hurt.,B: The broadcaster explained which contestant the judge had hurt.,1
35,1094,chased,A: The undead king recognized which woman the zombie had chased.,B: The undead king recognized which zombie the woman had chased.,1
39,1257,reprimanded,A: The family counselor understood which stepparent the daughter had reprimanded.,B: The family counselor understood which daughter the stepparent had reprimanded.,1
7,174,detected,A: The naturalist observed which predators the deer had detected.,B: The naturalist observed which deer the predators had detected.,1
60,2033,reported,A: The security guard investigated which patrolman the loiterer had reported.,B: The security guard investigated which loiterer the patrolman had reported.,1
57,1930,killed,A: The cotton farmer wondered which slave the master had killed.,B: The cotton farmer wondered which master the slave had killed.,1
11,281,abducted,A: The nanny knew which billionaire the housekeeper had abducted.,B: The nanny knew which housekeeper the billionaire had abducted.,1
53,1755,called,A: The priest knew which exorcist the demon had called.,B: The priest knew which demon the exorcist had called.,1
13,373,gone,A: Tracy announced which applicant the administrator had gone.,B: Tracy announced which administrator the applicant had gone.,1
24,745,picked on,A: The high schooler heard which geek the jock had picked on.,B: The high schooler heard which jock the geek had picked on.,1
57,1914,chosen,A: The cotton farmer wondered which slave the master had chosen.,B: The cotton farmer wondered which master the slave had chosen.,1
47,1515,eaten,A: The boatman saw which shark the diver had eaten.,B: The boatman saw which diver the shark had eaten.,1
12,325,examined,A: The researcher learned which whale the biologist had examined.,B: The researcher learned which biologist the whale had examined.,1
43,1396,impressed,A: The producer observed which viewers the acrobats had impressed.,B: The producer observed which acrobats the viewers had impressed.,1
46,1510,killed,A: The ape researcher identified which poacher the chimpanzee had killed.,B: The ape researcher identified which chimpanzee the poacher had killed.,1
43,1393,enticed,A: The producer observed which viewers the acrobats had enticed.,B: The producer observed which acrobats the viewers had enticed.,1
57,1906,punished,A: The cotton farmer wondered which master the slave had punished.,B: The cotton farmer wondered which slave the master had punished.,1
51,1679,berated,A: The parole officer confirmed which delinquent the psychologist had berated.,B: The parole officer confirmed which psychologist the delinquent had berated.,1
55,1852,raised,A: Teresa knew which neighbor the parrot had raised.,B: Teresa knew which parrot the neighbor had raised.,1
5,112,taken,A: The park ranger documented which hunter the eagle had taken.,B: The park ranger documented which eagle the hunter had taken.,1
26,793,tamed,A: The ringmaster recognized which cheetah the tamer had tamed.,B: The ringmaster recognized which tamer the cheetah had tamed.,1
52,1720,accused,A: The policeman knew which suspect the detective had accused.,B: The policeman knew which detective the suspect had accused.,1
54,1776,listened,A: Jack observed which passenger the conductor had listened.,B: Jack observed which conductor the passenger had listened.,1
27,849,arrived,A: The travel agent recorded which innkeeper the guests had arrived.,B: The travel agent recorded which guests the innkeeper had arrived.,1
32,988,talked,A: The jail keeper forgot which guard the prisoner had talked.,B: The jail keeper forgot which prisoner the guard had talked.,1
14,416,amused,A: The birthday boy saw which clown the friend had amused.,B: The birthday boy saw which friend the clown had amused.,1
12,340,killed,A: The researcher learned which biologist the whale had killed.,B: The researcher learned which whale the biologist had killed.,1
45,1469,groomed,A: The reporter inquired which animals the groomer had groomed.,B: The reporter inquired which groomer the animals had groomed.,1
13,355,spoken,A: Tracy announced which administrator the applicant had spoken.,B: Tracy announced which applicant the administrator had spoken.,1
55,1862,lost,A: Teresa knew which neighbor the parrot had lost.,B: Teresa knew which parrot the neighbor had lost.,1
47,1522,punched,A: The boatman saw which diver the shark had punched.,B: The boatman saw which shark the diver had punched.,1
14,408,pranked,A: The birthday boy saw which friend the clown had pranked.,B: The birthday boy saw which clown the friend had pranked.,1
36,1143,let in,A: Tonia explained which conman the housewife had let in.,B: Tonia explained which housewife the conman had let in.,1
43,1413,liked,A: The producer observed which viewers the acrobats had liked.,B: The producer observed which acrobats the viewers had liked.,1
36,1137,swindled,A: Tonia explained which housewife the conman had swindled.,B: Tonia explained which conman the housewife had swindled.,1
46,1491,injected,A: The ape researcher identified which poacher the chimpanzee had injected.,B: The ape researcher identified which chimpanzee the poacher had injected.,1
52,1706,discussed,A: The policeman knew which suspect the detective had discussed.,B: The policeman knew which detective the suspect had discussed.,1
58,1939,caged,A: The farmhand recorded which goats the breeder had caged.,B: The farmhand recorded which breeder the goats had caged.,1
28,878,injured,A: The bird watcher saw which hawk the photographer had injured.,B: The bird watcher saw which photographer the hawk had injured.,1
8,186,billed,A: The restaurant owner forgot which customer the waitress had billed.,B: The restaurant owner forgot which waitress the customer had billed.,1
51,1652,referred,A: The parole officer confirmed which psychologist the delinquent had referred.,B: The parole officer confirmed which delinquent the psychologist had referred.,1
37,1159,spoken,A: The broadcaster explained which judge the contestant had spoken.,B: The broadcaster explained which contestant the judge had spoken.,1
50,1647,liked,A: The military man knew which general the soldiers had liked.,B: The military man knew which soldiers the general had liked.,1
20,598,kept,A: The wildlife curator mentioned which zookeeper the ape had kept.,B: The wildlife curator mentioned which ape the zookeeper had kept.,1
33,1023,seen,A: The sailor saw which whale the man had seen.,B: The sailor saw which man the whale had seen.,1
54,1813,asked,A: Jack observed which passenger the conductor had asked.,B: Jack observed which conductor the passenger had asked.,1
50,1632,ordered,A: The military man knew which general the soldiers had ordered.,B: The military man knew which soldiers the general had ordered.,1
36,1133,conned,A: Tonia explained which conman the housewife had conned.,B: Tonia explained which housewife the conman had conned.,1
39,1253,preferred,A: The family counselor understood which stepparent the daughter had preferred.,B: The family counselor understood which daughter the stepparent had preferred.,1
24,731,fallen for,A: The high schooler heard which geek the jock had fallen for.,B: The high schooler heard which jock the geek had fallen for.,1
16,489,bonded,A: The documentarian showed which piglets the agriculturalist had bonded.,B: The documentarian showed which agriculturalist the piglets had bonded.,1
25,773,kicked,A: The parent saw which lifeguard the child had kicked.,B: The parent saw which child the lifeguard had kicked.,1
6,152,killed,A: The judo master recognized which defender the assailant had killed.,B: The judo master recognized which assailant the defender had killed.,1
17,513,pointed to,A: The police officer noted which jeweler the burglar had pointed to.,B: The police officer noted which burglar the jeweler had pointed to.,1
41,1334,beaten,A: The opera composer revealed which pirate the singer had beaten.,B: The opera composer revealed which singer the pirate had beaten.,1
49,1576,eaten,A: The farmer indicated which townsperson the donkey had eaten.,B: The farmer indicated which donkey the townsperson had eaten.,1
60,2039,assaulted,A: The security guard investigated which patrolman the loiterer had assaulted.,B: The security guard investigated which loiterer the patrolman had assaulted.,1
12,330,executed,A: The researcher learned which biologist the whale had executed.,B: The researcher learned which whale the biologist had executed.,1
50,1627,promoted,A: The military man knew which general the soldiers had promoted.,B: The military man knew which soldiers the general had promoted.,1
48,1542,betrayed,A: The committee member guessed which president the advisors had betrayed.,B: The committee member guessed which advisors the president had betrayed.,1
49,1585,shot,A: The farmer indicated which donkey the townsperson had shot.,B: The farmer indicated which townsperson the donkey had shot.,1
42,1369,fooled,A: The prison warden guessed which inmate the jailer had fooled.,B: The prison warden guessed which jailer the inmate had fooled.,1
24,736,run over,A: The high schooler heard which jock the geek had run over.,B: The high schooler heard which geek the jock had run over.,1
57,1931,forgiven,A: The cotton farmer wondered which slave the master had forgiven.,B: The cotton farmer wondered which master the slave had forgiven.,1
12,332,noticed,A: The researcher learned which whale the biologist had noticed.,B: The researcher learned which biologist the whale had noticed.,1
40,1276,fought,A: The newscaster confirmed which policeman the fugitive had fought.,B: The newscaster confirmed which fugitive the policeman had fought.,1
53,1748,spoken,A: The priest knew which exorcist the demon had spoken.,B: The priest knew which demon the exorcist had spoken.,1
52,1699,shot,A: The policeman knew which suspect the detective had shot.,B: The policeman knew which detective the suspect had shot.,1
58,1972,lifted,A: The farmhand recorded which goats the breeder had lifted.,B: The farmhand recorded which breeder the goats had lifted.,1
43,1399,ogled,A: The producer observed which acrobats the viewers had ogled.,B: The producer observed which viewers the acrobats had ogled.,1
9,245,bedded,A: The head nun explained which friar the temptress had bedded.,B: The head nun explained which temptress the friar had bedded.,1
25,765,followed,A: The parent saw which child the lifeguard had followed.,B: The parent saw which lifeguard the child had followed.,1
46,1493,seen,A: The ape researcher identified which chimpanzee the poacher had seen.,B: The ape researcher identified which poacher the chimpanzee had seen.,1
2,43,encountered,A: The old widower remembered which villager the ghost had encountered.,B: The old widower remembered which ghost the villager had encountered.,1
21,667,annoyed,A: The aid worker realized which philanthropist the refugees had annoyed.,B: The aid worker realized which refugees the philanthropist had annoyed.,1
20,592,assaulted,A: The wildlife curator mentioned which zookeeper the ape had assaulted.,B: The wildlife curator mentioned which ape the zookeeper had assaulted.,1
41,1301,been,A: The opera composer revealed which pirate the singer had been.,B: The opera composer revealed which singer the pirate had been.,1
23,693,elated,A: The dance instructor noticed which onlookers the performers had elated.,B: The dance instructor noticed which performers the onlookers had elated.,1
55,1839,landed,A: Teresa knew which parrot the neighbor had landed.,B: Teresa knew which neighbor the parrot had landed.,1
21,650,followed,A: The aid worker realized which philanthropist the refugees had followed.,B: The aid worker realized which refugees the philanthropist had followed.,1
43,1395,stunned,A: The producer observed which acrobats the viewers had stunned.,B: The producer observed which viewers the acrobats had stunned.,1
47,1525,viewed,A: The boatman saw which diver the shark had viewed.,B: The boatman saw which shark the diver had viewed.,1
42,1376,assaulted,A: The prison warden guessed which jailer the inmate had assaulted.,B: The prison warden guessed which inmate the jailer had assaulted.,1
12,314,found,A: The researcher learned which biologist the whale had found.,B: The researcher learned which whale the biologist had found.,1
16,473,befriended,A: The documentarian showed which agriculturalist the piglets had befriended.,B: The documentarian showed which piglets the agriculturalist had befriended.,1
42,1373,lost,A: The prison warden guessed which inmate the jailer had lost.,B: The prison warden guessed which jailer the inmate had lost.,1
24,740,shoved,A: The high schooler heard which geek the jock had shoved.,B: The high schooler heard which jock the geek had shoved.,1
33,1025,stabbed,A: The sailor saw which man the whale had stabbed.,B: The sailor saw which whale the man had stabbed.,1
22,683,run from,A: The camper reported which bear the girl had run from.,B: The camper reported which girl the bear had run from.,1
31,941,mentioned,A: The investigator discovered which abductor the couple had mentioned.,B: The investigator discovered which couple the abductor had mentioned.,1
47,1516,feared,A: The boatman saw which shark the diver had feared.,B: The boatman saw which diver the shark had feared.,1
8,188,tipped,A: The restaurant owner forgot which waitress the customer had tipped.,B: The restaurant owner forgot which customer the waitress had tipped.,1
41,1302,taken,A: The opera composer revealed which pirate the singer had taken.,B: The opera composer revealed which singer the pirate had taken.,1
4,93,executed,A: The historian documented which assassin the prince had executed.,B: The historian documented which prince the assassin had executed.,1
20,597,alarmed,A: The wildlife curator mentioned which ape the zookeeper had alarmed.,B: The wildlife curator mentioned which zookeeper the ape had alarmed.,1
51,1673,treated,A: The parole officer confirmed which psychologist the delinquent had treated.,B: The parole officer confirmed which delinquent the psychologist had treated.,1
21,655,cured,A: The aid worker realized which refugees the philanthropist had cured.,B: The aid worker realized which philanthropist the refugees had cured.,1
44,1442,given,A: The queen recognized which comedian the nobleman had given.,B: The queen recognized which nobleman the comedian had given.,1
58,1945,kept,A: The farmhand recorded which breeder the goats had kept.,B: The farmhand recorded which goats the breeder had kept.,1
57,1928,captured,A: The cotton farmer wondered which master the slave had captured.,B: The cotton farmer wondered which slave the master had captured.,1
5,111,been,A: The park ranger documented which hunter the eagle had been.,B: The park ranger documented which eagle the hunter had been.,1
3,54,helped,A: The firefighter reported which paramedic the victim had helped.,B: The firefighter reported which victim the paramedic had helped.,1
5,110,elected,A: The park ranger documented which eagle the hunter had elected.,B: The park ranger documented which hunter the eagle had elected.,1
16,465,chosen,A: The documentarian showed which piglets the agriculturalist had chosen.,B: The documentarian showed which agriculturalist the piglets had chosen.,1
34,1045,helped,A: The sheriff recalled which locals the gangsters had helped.,B: The sheriff recalled which gangsters the locals had helped.,1
50,1626,spoken,A: The military man knew which general the soldiers had spoken.,B: The military man knew which soldiers the general had spoken.,1
1,24,harassed,A: The librarian documented which celebrities the journalist had harassed.,B: The librarian documented which journalist the celebrities had harassed.,1
50,1645,served,A: The military man knew which soldiers the general had served.,B: The military man knew which general the soldiers had served.,1
49,1581,seen,A: The farmer indicated which townsperson the donkey had seen.,B: The farmer indicated which donkey the townsperson had seen.,1
42,1349,murdered,A: The prison warden guessed which inmate the jailer had murdered.,B: The prison warden guessed which jailer the inmate had murdered.,1
19,559,taught,A: The trapeze artist indicated which trainer the lion had taught.,B: The trapeze artist indicated which lion the trainer had taught.,1
18,553,served,A: The royal cook asked which lord the chef had served.,B: The royal cook asked which chef the lord had served.,1
24,728,kissed,A: The high schooler heard which jock the geek had kissed.,B: The high schooler heard which geek the jock had kissed.,1
34,1059,shot,A: The sheriff recalled which locals the gangsters had shot.,B: The sheriff recalled which gangsters the locals had shot.,1
44,1450,talked about,A: The queen recognized which comedian the nobleman had talked about.,B: The queen recognized which nobleman the comedian had talked about.,1
27,826,inquired,A: The travel agent recorded which guests the innkeeper had inquired.,B: The travel agent recorded which innkeeper the guests had inquired.,1
49,1596,wanted,A: The farmer indicated which donkey the townsperson had wanted.,B: The farmer indicated which townsperson the donkey had wanted.,1
41,1338,liked,A: The opera composer revealed which pirate the singer had liked.,B: The opera composer revealed which singer the pirate had liked.,1
6,150,accused,A: The judo master recognized which assailant the defender had accused.,B: The judo master recognized which defender the assailant had accused.,1
2,44,become,A: The old widower remembered which villager the ghost had become.,B: The old widower remembered which ghost the villager had become.,1
32,993,run,A: The jail keeper forgot which prisoner the guard had run.,B: The jail keeper forgot which guard the prisoner had run.,1
32,972,let,A: The jail keeper forgot which guard the prisoner had let.,B: The jail keeper forgot which prisoner the guard had let.,1
19,574,accustomed,A: The trapeze artist indicated which lion the trainer had accustomed.,B: The trapeze artist indicated which trainer the lion had accustomed.,1
24,741,argued,A: The high schooler heard which geek the jock had argued.,B: The high schooler heard which jock the geek had argued.,1
48,1554,selected,A: The committee member guessed which president the advisors had selected.,B: The committee member guessed which advisors the president had selected.,1
17,508,stolen,A: The police officer noted which burglar the jeweler had stolen.,B: The police officer noted which jeweler the burglar had stolen.,1
9,218,confided,A: The head nun explained which temptress the friar had confided.,B: The head nun explained which friar the temptress had confided.,1
26,782,respected,A: The ringmaster recognized which tamer the cheetah had respected.,B: The ringmaster recognized which cheetah the tamer had respected.,1
27,854,told,A: The travel agent recorded which guests the innkeeper had told.,B: The travel agent recorded which innkeeper the guests had told.,1
12,339,tagged,A: The researcher learned which biologist the whale had tagged.,B: The researcher learned which whale the biologist had tagged.,1
11,282,worked for,A: The nanny knew which housekeeper the billionaire had worked for.,B: The nanny knew which billionaire the housekeeper had worked for.,1
12,318,left,A: The researcher learned which whale the biologist had left.,B: The researcher learned which biologist the whale had left.,1
39,1236,fought with,A: The family counselor understood which daughter the stepparent had fought with.,B: The family counselor understood which stepparent the daughter had fought with.,1
8,184,helped,A: The restaurant owner forgot which customer the waitress had helped.,B: The restaurant owner forgot which waitress the customer had helped.,1
53,1733,overcome,A: The priest knew which demon the exorcist had overcome.,B: The priest knew which exorcist the demon had overcome.,1
56,1884,hired,A: The art critic identified which model the artist had hired.,B: The art critic identified which artist the model had hired.,1
41,1326,delivered,A: The opera composer revealed which pirate the singer had delivered.,B: The opera composer revealed which singer the pirate had delivered.,1
36,1111,witnessed,A: Tonia explained which conman the housewife had witnessed.,B: Tonia explained which housewife the conman had witnessed.,1
14,419,hurt,A: The birthday boy saw which friend the clown had hurt.,B: The birthday boy saw which clown the friend had hurt.,1
23,717,communicated,A: The dance instructor noticed which onlookers the performers had communicated.,B: The dance instructor noticed which performers the onlookers had communicated.,1
20,588,eaten,A: The wildlife curator mentioned which zookeeper the ape had eaten.,B: The wildlife curator mentioned which ape the zookeeper had eaten.,1
1,31,interviewed,A: The librarian documented which journalist the celebrities had interviewed.,B: The librarian documented which celebrities the journalist had interviewed.,1
25,759,left,A: The parent saw which lifeguard the child had left.,B: The parent saw which child the lifeguard had left.,1
10,273,killed,A: The housekeeper showed which mouse the cat had killed.,B: The housekeeper showed which cat the mouse had killed.,1
28,869,copied,A: The bird watcher saw which photographer the hawk had copied.,B: The bird watcher saw which hawk the photographer had copied.,1
13,362,talked,A: Tracy announced which applicant the administrator had talked.,B: Tracy announced which administrator the applicant had talked.,1
38,1209,signed up,A: The campaign volunteer speculated which mayor the voters had signed up.,B: The campaign volunteer speculated which voters the mayor had signed up.,1
47,1519,skinned,A: The boatman saw which diver the shark had skinned.,B: The boatman saw which shark the diver had skinned.,1
32,1003,killed,A: The jail keeper forgot which prisoner the guard had killed.,B: The jail keeper forgot which guard the prisoner had killed.,1
31,964,scorned,A: The investigator discovered which couple the abductor had scorned.,B: The investigator discovered which abductor the couple had scorned.,1
29,892,seen,A: The costume designer confirmed which barber the actor had seen.,B: The costume designer confirmed which actor the barber had seen.,1
58,1960,bought,A: The farmhand recorded which breeder the goats had bought.,B: The farmhand recorded which goats the breeder had bought.,1
31,959,noticed,A: The investigator discovered which abductor the couple had noticed.,B: The investigator discovered which couple the abductor had noticed.,1
36,1107,met,A: Tonia explained which housewife the conman had met.,B: Tonia explained which conman the housewife had met.,1
53,1756,sliced,A: The priest knew which exorcist the demon had sliced.,B: The priest knew which demon the exorcist had sliced.,1
52,1697,singled out,A: The policeman knew which suspect the detective had singled out.,B: The policeman knew which detective the suspect had singled out.,1
28,881,photographed,A: The bird watcher saw which photographer the hawk had photographed.,B: The bird watcher saw which hawk the photographer had photographed.,1
43,1392,cheered,A: The producer observed which acrobats the viewers had cheered.,B: The producer observed which viewers the acrobats had cheered.,1
38,1215,wanted,A: The campaign volunteer speculated which mayor the voters had wanted.,B: The campaign volunteer speculated which voters the mayor had wanted.,1
35,1090,devoured,A: The undead king recognized which woman the zombie had devoured.,B: The undead king recognized which zombie the woman had devoured.,1
4,94,fingered,A: The historian documented which prince the assassin had fingered.,B: The historian documented which assassin the prince had fingered.,1
45,1481,bitten,A: The reporter inquired which groomer the animals had bitten.,B: The reporter inquired which animals the groomer had bitten.,1
45,1457,hated,A: The reporter inquired which animals the groomer had hated.,B: The reporter inquired which groomer the animals had hated.,1
32,983,spoken,A: The jail keeper forgot which prisoner the guard had spoken.,B: The jail keeper forgot which guard the prisoner had spoken.,1
43,1382,enthralled,A: The producer observed which acrobats the viewers had enthralled.,B: The producer observed which viewers the acrobats had enthralled.,1
45,1486,liked,A: The reporter inquired which animals the groomer had liked.,B: The reporter inquired which groomer the animals had liked.,1
38,1220,forgiven,A: The campaign volunteer speculated which mayor the voters had forgiven.,B: The campaign volunteer speculated which voters the mayor had forgiven.,1
38,1203,frauded,A: The campaign volunteer speculated which voters the mayor had frauded.,B: The campaign volunteer speculated which mayor the voters had frauded.,1
39,1265,told,A: The family counselor understood which daughter the stepparent had told.,B: The family counselor understood which stepparent the daughter had told.,1
46,1509,bitten,A: The ape researcher identified which chimpanzee the poacher had bitten.,B: The ape researcher identified which poacher the chimpanzee had bitten.,1
21,663,brought,A: The aid worker realized which philanthropist the refugees had brought.,B: The aid worker realized which refugees the philanthropist had brought.,1
51,1664,arrested,A: The parole officer confirmed which psychologist the delinquent had arrested.,B: The parole officer confirmed which delinquent the psychologist had arrested.,1
7,173,hurt,A: The naturalist observed which deer the predators had hurt.,B: The naturalist observed which predators the deer had hurt.,1
1,8,written about,A: The librarian documented which journalist the celebrities had written about.,B: The librarian documented which celebrities the journalist had written about.,1
44,1453,loved,A: The queen recognized which nobleman the comedian had loved.,B: The queen recognized which comedian the nobleman had loved.,1
52,1708,cornered,A: The policeman knew which detective the suspect had cornered.,B: The policeman knew which suspect the detective had cornered.,1
38,1193,bothered,A: The campaign volunteer speculated which mayor the voters had bothered.,B: The campaign volunteer speculated which voters the mayor had bothered.,1
56,1897,drawn,A: The art critic identified which artist the model had drawn.,B: The art critic identified which model the artist had drawn.,1
47,1531,encountered,A: The boatman saw which diver the shark had encountered.,B: The boatman saw which shark the diver had encountered.,1
14,395,scared,A: The birthday boy saw which clown the friend had scared.,B: The birthday boy saw which friend the clown had scared.,1
58,1944,left,A: The farmhand recorded which breeder the goats had left.,B: The farmhand recorded which goats the breeder had left.,1
47,1529,touched,A: The boatman saw which diver the shark had touched.,B: The boatman saw which shark the diver had touched.,1
55,1846,complained,A: Teresa knew which parrot the neighbor had complained.,B: Teresa knew which neighbor the parrot had complained.,1
19,562,visited,A: The trapeze artist indicated which trainer the lion had visited.,B: The trapeze artist indicated which lion the trainer had visited.,1
28,868,shot,A: The bird watcher saw which hawk the photographer had shot.,B: The bird watcher saw which photographer the hawk had shot.,1
34,1053,celebrated,A: The sheriff recalled which locals the gangsters had celebrated.,B: The sheriff recalled which gangsters the locals had celebrated.,1
40,1278,searched for,A: The newscaster confirmed which policeman the fugitive had searched for.,B: The newscaster confirmed which fugitive the policeman had searched for.,1
42,1365,hit,A: The prison warden guessed which inmate the jailer had hit.,B: The prison warden guessed which jailer the inmate had hit.,1
21,656,talked,A: The aid worker realized which philanthropist the refugees had talked.,B: The aid worker realized which refugees the philanthropist had talked.,1
8,197,ordered,A: The restaurant owner forgot which customer the waitress had ordered.,B: The restaurant owner forgot which waitress the customer had ordered.,1
44,1452,embarrassed,A: The queen recognized which nobleman the comedian had embarrassed.,B: The queen recognized which comedian the nobleman had embarrassed.,1
38,1214,voted for,A: The campaign volunteer speculated which mayor the voters had voted for.,B: The campaign volunteer speculated which voters the mayor had voted for.,1
31,954,escaped,A: The investigator discovered which abductor the couple had escaped.,B: The investigator discovered which couple the abductor had escaped.,1
33,1034,ridden,A: The sailor saw which man the whale had ridden.,B: The sailor saw which whale the man had ridden.,1
48,1559,recorded,A: The committee member guessed which advisors the president had recorded.,B: The committee member guessed which president the advisors had recorded.,1
20,608,sedated,A: The wildlife curator mentioned which zookeeper the ape had sedated.,B: The wildlife curator mentioned which ape the zookeeper had sedated.,1
29,891,used,A: The costume designer confirmed which barber the actor had used.,B: The costume designer confirmed which actor the barber had used.,1
50,1609,excused,A: The military man knew which soldiers the general had excused.,B: The military man knew which general the soldiers had excused.,1
14,379,mocked,A: The birthday boy saw which friend the clown had mocked.,B: The birthday boy saw which clown the friend had mocked.,1
19,557,disliked,A: The trapeze artist indicated which lion the trainer had disliked.,B: The trapeze artist indicated which trainer the lion had disliked.,1
33,1042,slain,A: The sailor saw which whale the man had slain.,B: The sailor saw which man the whale had slain.,1
13,371,been prejudiced against,A: Tracy announced which applicant the administrator had been prejudiced against.,B: Tracy announced which administrator the applicant had been prejudiced against.,1
59,1987,caught,A: The four-year-old knew which dragon the hero had caught.,B: The four-year-old knew which hero the dragon had caught.,1
41,1305,abducted,A: The opera composer revealed which singer the pirate had abducted.,B: The opera composer revealed which pirate the singer had abducted.,1
33,1026,scared,A: The sailor saw which man the whale had scared.,B: The sailor saw which whale the man had scared.,1
60,2029,touched,A: The security guard investigated which patrolman the loiterer had touched.,B: The security guard investigated which loiterer the patrolman had touched.,1
41,1306,kissed,A: The opera composer revealed which singer the pirate had kissed.,B: The opera composer revealed which pirate the singer had kissed.,1
23,718,observed,A: The dance instructor noticed which onlookers the performers had observed.,B: The dance instructor noticed which performers the onlookers had observed.,1
16,478,called,A: The documentarian showed which piglets the agriculturalist had called.,B: The documentarian showed which agriculturalist the piglets had called.,1
59,1985,saved,A: The four-year-old knew which dragon the hero had saved.,B: The four-year-old knew which hero the dragon had saved.,1
15,422,met,A: The columnist publicized which celebrity the photographer had met.,B: The columnist publicized which photographer the celebrity had met.,1
20,614,gotten out of,A: The wildlife curator mentioned which ape the zookeeper had gotten out of.,B: The wildlife curator mentioned which zookeeper the ape had gotten out of.,1
8,185,stiffed,A: The restaurant owner forgot which waitress the customer had stiffed.,B: The restaurant owner forgot which customer the waitress had stiffed.,1
31,956,stolen,A: The investigator discovered which couple the abductor had stolen.,B: The investigator discovered which abductor the couple had stolen.,1
25,762,been rescued by,A: The parent saw which child the lifeguard had been rescued by.,B: The parent saw which lifeguard the child had been rescued by.,1
60,2001,visited,A: The security guard investigated which loiterer the patrolman had visited.,B: The security guard investigated which patrolman the loiterer had visited.,1
47,1534,killed,A: The boatman saw which shark the diver had killed.,B: The boatman saw which diver the shark had killed.,1
24,747,embarrassed,A: The high schooler heard which jock the geek had embarrassed.,B: The high schooler heard which geek the jock had embarrassed.,1
1,9,seen,A: The librarian documented which journalist the celebrities had seen.,B: The librarian documented which celebrities the journalist had seen.,1
41,1339,known,A: The opera composer revealed which pirate the singer had known.,B: The opera composer revealed which singer the pirate had known.,1
11,285,bribed,A: The nanny knew which billionaire the housekeeper had bribed.,B: The nanny knew which housekeeper the billionaire had bribed.,1
